City,Lat,Lon,Mean
Adelanto,34.630638,-117.5205628,36944
Agoura,34.1211089,-118.7391728,140704
Agoura Hills,34.1606269,-118.7730237,182475
Agua Dulce,34.5455872,-118.4200954,91975
Aguanga,33.518735,-116.812103,64425
Alameda,37.7778323,-122.2835979,57071
Alameda,37.7601324,-122.2593887,85175
Alameda,37.764909,-122.2299614,120874
Alameda,37.7810489,-122.2662775,73300
Alameda,37.7714922,-122.2690581,126167
Alameda,37.7666414,-122.2475404,81068
Alameda,37.7344929,-122.2414385,99109
Alameda,37.7601324,-122.2593887,75047
Albany,37.8906499,-122.3181164,98633
Alhambra,34.1039997,-118.1321698,121801
Alhambra,34.0820627,-118.1526495,78622
Alhambra,34.0802793,-118.1390208,50396
Alhambra,34.0841555,-118.1201868,59150
Alhambra,34.0661708,-118.1198426,43475
Alhambra,34.0653167,-118.1407539,96812
Alhambra,34.1012449,-118.1218022,79539
Alhambra,34.0909207,-118.1536066,94952
Alhambra,34.0661708,-118.1198426,54629
Aliso Viejo,33.5707126,-117.7106408,72942
Aliso Viejo,33.5918921,-117.7320517,113941
Aliso Viejo,33.5791773,-117.7339145,80280
Aliso Viejo,33.5765214,-117.7237974,93505
Alpine,32.842286,-116.756044,91662
Alta,39.2295298,-120.8825536,62423
Alta,39.2246574,-120.7182119,72930
Alta,39.4173331,-120.5885542,56919
Alta Loma,34.138221,-117.6072895,54436
Alta Loma,34.1433079,-117.5845688,117092
Alta Loma,34.1294228,-117.5930105,75956
Alta Loma,34.1309473,-117.5671177,129623
Alta Loma,34.1262864,-117.6325109,104920
Alta Loma,34.1309473,-117.5671177,110402
Altadena,34.2022974,-118.1374923,100351
Altadena,34.1943756,-118.1576946,91344
Altadena,34.1870169,-118.1608413,60197
Altadena,34.1809681,-118.1154324,102164
Alviso,37.4495304,-121.9940964,87293
Anaheim,33.8523274,-117.8076536,105938
Anaheim,33.8549585,-117.7543976,165411
Anaheim,33.811026,-117.6969462,0
Anaheim,33.829141,-117.8794788,97024
Anaheim,33.8506272,-117.8977733,77785
Anaheim,33.8507453,-117.933024,55521
Anaheim,33.8509554,-117.9566062,61456
Anaheim,33.8358485,-117.9806013,48310
Anaheim,33.8247012,-117.9977753,68606
Anaheim,33.8249717,-117.9717657,66657
Anaheim,33.8264301,-117.9487797,76160
Anaheim,33.8357929,-117.9285565,88229
Anaheim,33.8251532,-117.9095108,46827
Anaheim,33.7975374,-117.9020092,46049
Anaheim,33.804469,-117.9399623,87497
Anaheim,33.8104078,-117.9632386,60735
Anaheim,33.829141,-117.8794788,110137
Anaheim,33.8440428,-117.9331121,62761
Anaheim,33.8249717,-117.9717657,69575
Anaheim,33.8251532,-117.9095108,55789
Anaheim,33.8100654,-118.0063667,70164
Anderson,40.4294831,-122.2988508,57413
Anderson,40.4590543,-122.439694,55875
Angwin,38.5549366,-122.4312603,79252
Antelope,38.707515,-121.37028,60935
Antelope,38.7222559,-121.3876534,85143
Antelope,38.7214772,-121.3727251,67156
Antioch,38.0053331,-121.7994409,56173
Antioch,38.015682,-121.8340512,69607
Antioch,37.9865794,-121.8155925,60644
Antioch,38.003702,-121.8278006,23818
Antioch,37.9919244,-121.7964224,64756
Antioch,37.9763339,-121.7939065,88677
Anza,33.6096837,-116.7224654,67770
Apple Valley,34.4477844,-117.2261814,50406
Apple Valley,34.48581,-117.198857,37065
Apple Valley,34.5287444,-117.1729656,76380
Apple Valley,34.5182935,-117.231776,100976
Apple Valley,34.48581,-117.198857,45330
Aptos,36.991147,-121.892758,96841
Aptos,36.976627,-121.918359,72597
Aptos,36.9870654,-121.924979,44017
Aptos,36.9740179,-121.878407,65144
Aptos,36.9870654,-121.924979,83513
Arcadia,34.1422654,-118.0608911,75544
Arcadia,34.1384568,-118.0267442,78445
Arcadia,34.1156128,-118.0227522,100364
Arcadia,34.1213017,-118.042145,82882
Arcadia,34.1401862,-118.0699478,76983
Arcata,40.8875919,-124.0989799,40289
Arleta,34.2462338,-118.440639,63169
Arleta,34.2351095,-118.4203143,73869
Arroyo Grande,35.124305,-120.584854,81093
Arroyo Grande,35.1288715,-120.5705808,73793
Arroyo Grande,35.1167589,-120.6000993,73806
Artesia,33.8693945,-118.0806903,75344
Artesia,33.8693945,-118.0806903,78454
Arvin,35.2236273,-118.83337,53026
Atascadero,35.4702141,-120.6449778,35139
Atascadero,35.5127665,-120.6838568,88959
Atherton,37.451725,-122.2251406,119340
Atherton,37.4463,-122.2147667,180590
Atwater,37.3574501,-120.6497474,50484
Atwater,37.3657737,-120.5979864,18391
Atwater,37.3434586,-120.5855649,72671
Atwater,37.3229836,-120.6072659,110468
Auburn,38.895075,-121.076739,71164
Auburn,38.883438,-121.0643371,96948
Auburn,38.9192661,-121.1180058,99832
Avalon,33.3421607,-118.3305291,76075
Avenal,35.9068415,-120.0768232,0
Avery,38.294369,-120.270062,94240
Avery,38.078402,-120.443443,68946
Avery,38.4051305,-120.2111512,124426
Azusa,34.098229,-117.923815,82224
Azusa,34.1142597,-117.8946925,81020
Azusa,34.1275266,-117.9041106,42989
Azusa,34.1109251,-117.9220312,56323
Azusa,34.1265873,-117.8953117,49066
Bakersfield,35.321213,-119.018291,71025
Bakersfield,35.3613217,-118.9879161,26342
Bakersfield,35.3307397,-119.1012475,101564
Bakersfield,35.3180792,-119.1187516,90801
Bakersfield,35.3031439,-119.0121407,49017
Bakersfield,35.3907396,-119.1188797,76076
Bakersfield,35.4294346,-119.0170134,47383
Bakersfield,35.4111131,-119.0286467,50879
Bakersfield,35.4176598,-119.0737144,44633
Bakersfield,35.3976684,-118.9953155,61146
Bakersfield,35.4050159,-118.9631285,64345
Bakersfield,35.379737,-118.9229278,58604
Bakersfield,35.3587845,-118.8775624,63028
Bakersfield,35.3723166,-118.9577019,31798
Bakersfield,35.3822696,-118.9880772,42143
Bakersfield,35.3722473,-118.9890643,26335
Bakersfield,35.3601532,-119.0495029,56318
Bakersfield,35.3604639,-119.0241678,29901
Bakersfield,35.3613217,-118.9879161,18072
Bakersfield,35.3597374,-118.975107,38245
Bakersfield,35.3461386,-119.03002,57296
Bakersfield,35.3457879,-119.0825787,72112
Bakersfield,35.3505096,-119.0504014,28287
Bakersfield,35.3264609,-119.0617564,57505
Bakersfield,35.3180792,-119.1187516,107627
Bakersfield,35.3322843,-119.0303423,56758
Bakersfield,35.2390042,-118.911723,36454
Bakersfield,35.3174932,-119.0458982,54369
Bakersfield,35.3035415,-119.0269531,62899
Bakersfield,35.3031439,-119.0121407,46091
Bakersfield,35.3070654,-119.0655635,54283
Bakersfield,35.2885017,-119.0427006,73228
Bakersfield,35.4102215,-119.1199953,120751
Bakersfield,35.3762348,-119.1367209,134280
Bakersfield,35.484358,-118.9832964,59397
Bakersfield,35.386741,-119.0634239,82960
Bakersfield,35.4021101,-118.9414208,72991
Bakersfield,35.3922701,-118.9846462,30390
Baldwin Park,34.0707544,-117.9850286,52026
Baldwin Park,34.0726458,-117.9690042,61273
Baldwin Park,34.1013179,-117.9659823,74601
Baldwin Park,34.0839121,-117.9513657,54870
Baldwin Park,34.0721312,-117.9962625,60173
Baldwin Park,34.1033004,-117.9489743,67879
Banning,33.9266791,-116.8942771,28743
Barstow,34.885199,-117.108326,45143
Barstow,34.8338041,-117.1213732,51556
Barstow,34.8693342,-117.0176358,55672
Bay Point,38.1377528,-121.9771056,115331
Bay Point,38.0232198,-121.9443258,41914
Beale Afb,39.1253115,-121.3922825,32499
Beaumont,33.9837342,-117.0032354,47578
Beaumont,33.9374598,-116.9602294,63691
Beaumont,33.9594849,-117.028878,47670
Beaumont,33.9368731,-116.9288039,54506
Bell,33.9771928,-118.1965167,52302
Bell,33.9747696,-118.1839766,42270
Bell Gardens,33.9674778,-118.1399857,59808
Bell Gardens,33.9580353,-118.1672627,41304
Bell Gardens,33.9873586,-118.1527721,52786
Bell Gardens,33.9674778,-118.1399857,62322
Bella Vista,40.651672,-122.256513,60891
Bella Vista,40.6178722,-122.2544681,67511
Bellflower,33.9049648,-118.1205611,86014
Bellflower,33.8990638,-118.1322329,67867
Bellflower,33.8931415,-118.1195565,64960
Bellflower,33.8847475,-118.128584,30810
Bellflower,33.873719,-118.1295305,48235
Bellflower,33.8646532,-118.1294697,91900
Bellflower,33.8533032,-118.1353409,84349
Bellflower,33.863466,-118.117102,86364
Bellflower,33.8533032,-118.1353409,91204
Belmont,37.5208293,-122.2883303,84787
Belmont,37.5039221,-122.3034917,89187
Ben Lomond,37.114619,-122.052768,89332
Ben Lomond,37.080028,-122.0886342,82936
Ben Lomond,37.080028,-122.0886342,77476
Benicia,38.044542,-122.184944,104845
Benicia,38.0752524,-122.1678515,62727
Benicia,38.0696665,-122.1542954,101635
Benton,37.843606,-118.4899,33158
Benton,37.6809168,-118.5531208,112426
Berkeley,37.8911093,-122.2813663,137482
Berkeley,37.8573281,-122.2842016,77898
Berkeley,37.8975481,-122.2752271,163324
Berkeley,37.8918465,-122.2591618,144168
Berkeley,37.8802854,-122.2782006,133532
Berkeley,37.8728828,-122.2878171,71614
Berkeley,37.877313,-122.2603183,56150
Berkeley,37.8573281,-122.2842016,68802
Berkeley,37.8588898,-122.258719,87835
Berkeley,37.8522414,-122.2675674,91416
Bermuda Dunes,33.7491593,-116.2890686,66894
Bermuda Dunes,33.7365841,-116.2853543,88072
Berry Creek,39.6655389,-121.3519555,52817
Beverly Hills,34.0729596,-118.3800926,83580
Beverly Hills,34.0611535,-118.3804364,105278
Beverly Hills,34.0892642,-118.4021007,167779
Beverly Hills,34.0684231,-118.3820778,91484
Beverly Hills,34.0620828,-118.3944002,96430
Beverly Hills,34.0618645,-118.4057736,125383
Bieber,41.199312,-120.956779,54602
Big Bear Lake,34.2409525,-116.9467039,68592
Big Bear Lake,34.2429713,-116.8254601,46356
Big Bend,41.011615,-121.930444,29530
Big Creek,37.2235798,-119.0008343,91840
Bishop,37.3448147,-118.2425035,91625
Blocksburg,40.161347,-123.615729,24830
Bloomington,34.0813583,-117.392117,66419
Bloomington,34.043922,-117.3863212,53477
Bloomington,34.0768407,-117.3768768,53865
Bloomington,34.0393553,-117.3591733,62189
Blythe,33.6142234,-114.5838963,36039
Blythe,33.6218613,-114.5601089,66939
Bodega Bay,38.374452,-123.071859,32499
Bolinas,37.917725,-122.709502,100173
Bolinas,37.7272391,-123.0322294,0
Bonita,32.6571679,-117.0564201,101129
Bonsall,33.2857623,-117.1904461,74199
Borrego Springs,33.245398,-116.357035,41547
Brawley,32.9827303,-115.4711527,68139
Brawley,32.9645537,-115.5527364,67675
Brawley,32.9645537,-115.5527364,74920
Brea,33.9153582,-117.9082621,69752
Brea,33.938276,-117.8888187,57151
Brea,33.9175293,-117.8653441,92809
Brentwood,37.935905,-121.718547,100640
Brentwood,37.9470401,-121.7319199,110205
Brentwood,37.9577942,-121.7074867,118818
Brentwood,37.9422307,-121.7148199,96391
Bridgeville,40.5020364,-123.7971626,50321
Bridgeville,40.0875652,-123.1534981,29755
Bridgeville,40.0875652,-123.1534981,39383
Buellton,34.615497,-120.194237,80327
Buena Park,33.8305662,-118.0297412,85543
Buena Park,33.8534449,-118.0275965,78095
Buena Park,33.8529083,-117.9934182,102728
Buena Park,33.8686559,-117.9934929,57935
Buena Park,33.8646765,-118.0150263,54490
Burbank,34.1865849,-118.2959084,95896
Burbank,34.1946547,-118.3394509,71316
Burbank,34.1811419,-118.3067629,47878
Burbank,34.1856903,-118.3546268,93727
Burbank,34.1622734,-118.3493174,95005
Burbank,34.1617644,-118.3200887,92215
Burbank,34.2948569,-118.4273952,85642
Burbank,34.1936346,-118.3272405,64896
Burbank,34.1741462,-118.3431013,89359
Burbank,34.1997152,-118.3575367,0
Burlingame,37.5973795,-122.3682086,145814
Burlingame,37.5910356,-122.3453899,149063
Byron,37.8582825,-121.6219157,86367
Calabasas,34.1150626,-118.685427,151185
Calexico,32.6773523,-115.4776599,70533
Calexico,32.6730724,-115.5143868,41152
California City,35.1220493,-118.007949,57977
California City,35.1264114,-117.9674113,42088
California City,35.2098975,-117.8818657,47312
Calimesa,33.987344,-117.054211,61578
Calistoga,38.5814083,-122.5826961,88175
Camarillo,34.2409148,-119.0425597,111631
Camarillo,34.2200185,-118.9908667,69044
Camarillo,34.2197814,-119.0527386,96273
Cambria,35.552479,-121.084527,78162
Cameron Park,38.662649,-121.012167,122054
Campbell,37.3163746,-121.9452294,92339
Campbell,37.2806317,-121.9449626,116024
Campbell,37.2821666,-121.9693371,97865
Campbell,37.2513168,-121.9644886,135000
Campbell,37.3015825,-121.9450394,96796
Campbell,37.2742997,-121.9625102,104398
Campbell,37.2513168,-121.9644886,140802
Camptonville,39.452065,-121.048719,45763
Canby,41.5108055,-121.2486404,40613
Canoga Park,34.222799,-118.5807188,97358
Canoga Park,34.2026924,-118.5855271,93502
Canoga Park,34.2139885,-118.5912335,87073
Canoga Park,34.198294,-118.59964,50429
Canoga Park,34.1955756,-118.5715501,62210
Canoga Park,34.203248,-118.611899,90175
Canoga Park,34.2046744,-118.6017183,43390
Canyon Country,34.4620693,-118.395844,88448
Canyon Country,34.4394521,-118.4870567,112663
Canyon Country,34.4215429,-118.4758577,65773
Canyon Country,34.4180484,-118.4333787,79203
Canyon Country,34.4410273,-118.4105719,110528
Canyon Country,34.435608,-118.4274646,105855
Capistrano Beach,33.4516513,-117.6512801,94997
Capistrano Beach,33.4610097,-117.6670752,86573
Capitola,36.974907,-121.9654587,87396
Cardiff-by-the-sea,33.0221644,-117.2649644,115526
Carlsbad,33.077884,-117.233336,64113
Carlsbad,33.1005787,-117.2889625,131845
Carlsbad,33.113797,-117.3220158,105324
Carlsbad,33.1803561,-117.286498,60939
Carlsbad,33.091405,-117.2387858,125417
Carlsbad,33.1753289,-117.3081967,90044
Carlsbad,33.1173858,-117.2489029,123499
Carmel,36.4997312,-121.871267,103464
Carmel Valley,36.3913637,-121.6806215,73412
Carmichael,38.6027461,-121.355268,92640
Carmichael,38.6137442,-121.3506355,33630
Carmichael,38.648392,-121.3352428,66071
Carmichael,38.6172556,-121.3373166,66586
Carmichael,38.6170254,-121.3125679,54773
Carmichael,38.6206259,-121.3564193,63509
Carmichael,38.6032613,-121.3357344,97084
Carpinteria,34.3968141,-119.5217962,63928
Carpinteria,34.4052646,-119.5173821,112760
Carson,33.881033,-118.2539533,54426
Carson,33.8522481,-118.2413562,89158
Carson,33.8656664,-118.25076,77615
Carson,33.8135657,-118.2696681,73556
Carson,33.8293509,-118.2697206,68450
Carson,33.8414725,-118.2732944,84683
Carson,33.8433748,-118.240029,0
Castaic,34.450423,-118.671784,80845
Castaic,34.459244,-118.622565,111806
Castaic,34.465384,-118.5983695,0
Castro Valley,37.7060949,-122.0822257,110268
Castro Valley,37.7212084,-122.1010957,116915
Castro Valley,37.7060949,-122.0822257,104118
Castro Valley,37.6881143,-122.0672947,56554
Castroville,36.764838,-121.7533738,50156
Castroville,36.8010562,-121.7117029,76530
Cathedral City,33.7942301,-116.449391,94360
Cathedral City,33.819638,-116.4690836,45067
Cathedral City,33.7750205,-116.4698341,25822
Cathedral City,33.8086237,-116.4712229,41303
Cathedral City,33.8341094,-116.4669443,69328
Catheys Valley,37.3724477,-120.0838974,69566
Cazadero,38.527831,-123.109799,57388
Cazadero,38.541089,-123.258786,63405
Ceres,37.5877211,-120.9450461,42619
Ceres,37.5641562,-120.949917,55936
Ceres,37.601847,-120.9524211,64801
Ceres,37.6018409,-120.9179827,78738
Cerritos,33.8767524,-118.0551677,106789
Cerritos,33.8623389,-118.0548954,84872
Cerritos,33.8523009,-118.0931498,93048
Cerritos,33.8430305,-118.0882639,66847
Cerritos,33.8583374,-118.0380241,87373
Cerritos,33.8520795,-118.0774113,113909
Challenge,39.4522438,-121.1826541,40214
Chatsworth,34.2606831,-118.6024264,100529
Chatsworth,34.2533539,-118.5918392,49196
Chatsworth,34.2675047,-118.6227776,111176
Chatsworth,34.2436235,-118.5775956,94752
Chester,40.257771,-121.146958,105321
Chester,40.206005,-121.157456,89000
Chico,39.7558816,-121.8785043,84979
Chico,39.7457516,-121.7956007,90507
Chico,39.7670771,-121.8375293,64844
Chico,39.7638565,-121.849496,50847
Chico,39.7376442,-121.8867963,90589
Chico,39.744651,-121.864319,70514
Chico,39.7420778,-121.8390356,50672
Chico,39.7203605,-121.7616429,102455
Chico,39.7293637,-121.8344873,62464
Chico,39.7860101,-121.9334044,125693
Chino,33.978037,-117.657719,82439
Chino,34.0155706,-117.752422,63196
Chino,33.9714129,-117.7402927,87926
Chino,33.9779813,-117.7591574,85790
Chino,34.0150788,-117.7236934,99934
Chino,34.0262054,-117.7068103,91028
Chino,34.0227451,-117.6828193,55560
Chino,34.0249243,-117.6305659,89542
Chino,34.0085229,-117.6258794,96650
